text,length,frequency,tfidf,is_entity,score
Komatsu told,2,1,0.0,0,0.044
status lose,2,1,0.0,0,0.044
"the
  strategy",2,1,0.0,0,0.044
a question,2,1,0.0,0,0.044
its strategies,2,1,0.0,0,0.044
"the
  merger",2,1,0.0,0,0.044
a lot,2,1,0.0,0,0.044
big business,2,1,0.0,0,0.044
the parent,2,1,0.0,0,0.044
their sales,2,1,0.0,0,0.044
third countries,2,1,0.0,0,0.044
hard-hit producers,2,1,0.0,0,0.044
analysts agreed,2,1,0.0,0,0.044
network creating,2,1,0.0,0,0.044
Others argue,2,1,0.0,0,0.044
much paid,2,1,0.0,0,0.044
Sumitomo paid,2,1,0.0,0,0.044
import tariffs,2,1,0.0,0,0.044
trade barriers,2,1,0.0,0,0.044
our markets,2,1,0.0,0,0.044
The surplus,2,1,0.0,0,0.044
95 pct,2,1,0.0,0,0.044
a warning,2,1,0.0,0,0.044
the seriousness,2,1,0.0,0,0.044
Some said,2,1,0.0,0,0.044
gamble pay,2,1,0.0,0,0.044
network expand,2,1,0.0,0,0.044
it expand,2,1,0.0,0,0.044
they do,2,1,0.0,0,0.044
business increase,2,1,0.0,0,0.044
personnel exchange,2,1,0.0,0,0.044
them forbidden,2,1,0.0,0,0.044
Board forbidden,2,1,0.0,0,0.044
dlrs pay,2,1,0.0,0,0.044
share taking,2,1,0.0,0,0.044
business enter,2,1,0.0,0,0.044
limits agreed,2,1,0.0,0,0.044
everything put,2,1,0.0,0,0.044
moves made,2,1,0.0,0,0.044
They made,2,1,0.0,0,0.044
wisdom questioned,2,1,0.0,0,0.044
they questioned,2,1,0.0,0,0.044
business entered,2,1,0.0,0,0.044
It expanded,2,1,0.0,0,0.044
the long-run,2,1,0.0,0,0.044
ASIAN EXPORTERS,2,1,0.0,0,0.044
Sogo ailing,2,1,0.0,0,0.044
initiatives digesting,2,1,0.0,0,0.044
lot devote,2,1,0.0,0,0.044
Sumitomo have,2,1,0.0,0,0.044
it holds,2,1,0.0,0,0.044
relations strengthening,2,1,0.0,0,0.044
bond dealing,2,1,0.0,0,0.044
Sumitomo focus,2,1,0.0,0,0.044
changes occur,2,1,0.0,0,0.044
bank related,2,1,0.0,0,0.044
chances find,2,1,0.0,0,0.044
We need,2,1,0.0,0,0.044
opportunities create,2,1,0.0,0,0.044
deregulation create,2,1,0.0,0,0.044
deficit widened,2,1,0.0,0,0.044
57 pct,2,1,0.0,0,0.044
64 pct,2,1,0.0,0,0.044
seven pct,2,1,0.0,0,0.044
he added,2,1,0.0,0,0.044
demand disappearing,2,1,0.0,0,0.044
lending expand,2,1,0.0,0,0.044
Sumitomo pushing,2,1,0.0,0,0.044
We expect,2,1,0.0,0,0.044
waves make,2,1,0.0,0,0.044
pct holds,2,1,0.0,0,0.044
parent holds,2,1,0.0,0,0.044
licences grant,2,1,0.0,0,0.044
business entering,2,1,0.0,0,0.044
share holds,2,1,0.0,0,0.044
their gain,2,1,0.0,0,0.044
-cost,1,1,0.0,0,0.026
end-users,1,1,0.0,0,0.026
